item_id,shelf_life_days,perishability,confidence,storage_type,notes,avg_gap_days
1420781,7,low,high,dry,bread products,4.861111111111111
1420812,1,high,high,refrigerated,wraps/kebab fresh,1.2587412587412588
1420816,90,medium,high,frozen,meat frozen,10.466666666666669
1420851,1,high,high,refrigerated,sandwiches fresh,3.630434782608696
1420877,1,high,high,refrigerated,sandwiches fresh,2.8225806451612905
1421806,60,medium,high,frozen,sandwiches frozen,8.19047619047619
1452546,365,low,high,ambient,alcoholic beverages,1.4285714285714286
1452561,365,low,high,ambient,alcoholic beverages,1.487603305785124
1452605,365,low,high,ambient,alcoholic beverages,1.893617021276596
1452635,365,low,high,ambient,alcoholic beverages,1.3533834586466165
1452640,365,low,high,ambient,alcoholic beverages,1.2765957446808511
1452643,365,low,high,ambient,alcoholic beverages,1.5384615384615383
1452668,365,low,high,ambient,alcoholic beverages,1.5254237288135593
1452689,365,low,high,ambient,alcoholic beverages,1.2949640287769784
1452724,365,low,high,ambient,alcoholic beverages,1.8
1452740,365,low,high,ambient,alcoholic beverages,1.855670103092784
1452743,365,low,high,ambient,alcoholic beverages,2.5428571428571427
1452774,365,low,high,ambient,alcoholic beverages,1.6216216216216215
1452799,365,low,high,ambient,alcoholic beverages,1.7142857142857142
1452810,365,low,high,ambient,alcoholic beverages,1.6886792452830188
1452849,365,low,high,ambient,alcoholic beverages,1.512605042016807
1452851,365,low,high,ambient,alcoholic beverages,1.836734693877551
1465917,7,medium,high,refrigerated,dairy/eggs,999.0
1466226,30,low,medium,dry,pastries shelf-stable,28.2
1466234,365,low,high,dry,coffee/tea/hot drinks,999.0
1466249,7,low,high,dry,bread products,45.5
1469002,60,medium,high,frozen,sandwiches frozen,8.380952380952381
1470593,365,low,high,ambient,alcoholic beverages,1.3636363636363635
1477373,3,medium,high,refrigerated,bread fresh,1.6333333333333333
1477391,7,low,high,dry,bread products,5.84
1477415,365,low,high,ambient,soft drinks,2.9183673469387754
1477422,90,medium,high,frozen,meat frozen,999.0
1477435,365,low,high,ambient,soft drinks,17.625
1485395,60,medium,high,frozen,seafood frozen,3.595744680851064
1499350,180,low,high,ambient,shelf-stable snacks,1.6666666666666667
1499356,365,low,high,ambient,confectionery,3.12280701754386
1499358,365,low,high,dry,coffee/tea/hot drinks,3.4901960784313726
1499359,365,low,high,ambient,soft drinks,1.046242774566474
1499370,365,low,high,ambient,alcoholic beverages,3.067796610169492
1499375,365,low,high,ambient,alcoholic beverages,5.242424242424242
1499378,365,low,high,dry,coffee/tea/hot drinks,1.2569444444444444
1499385,365,low,high,ambient,alcoholic beverages,1.0
1499386,365,low,high,ambient,alcoholic beverages,1.0
1499387,365,low,high,dry,coffee/tea/hot drinks,5.15625
1499388,365,low,high,ambient,alcoholic beverages,2.011111111111111
1499389,365,low,high,ambient,alcoholic beverages,1.011111111111111
1499391,365,low,high,ambient,alcoholic beverages,2.75
1499393,365,low,high,dry,coffee/tea/hot drinks,3.333333333333333
1612426,14,medium,high,refrigerated,cheese,103.0
1612543,365,low,high,dry,coffee/tea/hot drinks,5.59375
1635263,365,low,high,dry,coffee/tea/hot drinks,4.390243902439025
1639344,365,low,high,ambient,soft drinks,1.2222222222222223
1642563,365,low,high,ambient,alcoholic beverages,1.0
1642593,365,low,high,ambient,soft drinks,1.0342857142857145
1642605,365,low,high,dry,coffee/tea/hot drinks,1.103658536585366
1642721,365,low,high,ambient,alcoholic beverages,3.4423076923076925
1642740,7,medium,high,refrigerated,fresh juice/smoothie,15.77777777777778
1642762,180,low,high,ambient,shelf-stable snacks,5.205882352941177
1642789,365,low,high,ambient,alcoholic beverages,12.2
1642802,3,high,high,refrigerated,fresh salads/vegetables,2.0689655172413794
1642822,365,low,high,dry,coffee/tea/hot drinks,5.114285714285714
1648765,365,low,high,ambient,alcoholic beverages,1.434782608695652
1658534,365,low,high,dry,coffee/tea/hot drinks,4.944444444444445
1658547,365,low,high,ambient,confectionery,4.657894736842105
1658553,90,medium,high,frozen,pizza (frozen/long shelf),3.480769230769231
1658563,60,medium,high,frozen,sandwiches frozen,4.2682926829268295
1658567,60,medium,high,frozen,sandwiches frozen,4.756756756756757
1658575,60,medium,high,frozen,sandwiches frozen,5.821428571428571
1658576,1,high,high,refrigerated,wraps/kebab fresh,2.8225806451612905
1658581,1,high,high,refrigerated,wraps/kebab fresh,1.2746478873239435
1658582,1,high,high,refrigerated,wraps/kebab fresh,2.6029411764705883
1658591,90,medium,high,frozen,meat frozen,6.769230769230769
1658595,2,high,high,refrigerated,meat fresh,1.8854166666666667
1658598,1,high,high,refrigerated,wraps/kebab fresh,2.753846153846154
1658600,365,low,high,dry,coffee/tea/hot drinks,1.5789473684210529
1658609,90,medium,high,frozen,meat frozen,5.931034482758621
1658613,14,medium,high,refrigerated,cheese,4.631578947368421
1658619,365,low,high,ambient,soft drinks,1.435483870967742
1668415,365,low,high,ambient,alcoholic beverages,1.0266666666666666
1668416,365,low,high,ambient,alcoholic beverages,2.290322580645161
1668417,365,low,high,ambient,alcoholic beverages,1.1323529411764706
1668420,2,high,high,refrigerated,meat fresh,1.3333333333333333
1668421,365,low,high,ambient,alcoholic beverages,1.6888888888888889
1668425,365,low,high,ambient,alcoholic beverages,14.0
1668448,180,low,high,ambient,shelf-stable snacks,2.730769230769231
1668452,365,low,high,ambient,alcoholic beverages,3.380952380952381
1668453,365,low,high,ambient,alcoholic beverages,1.972972972972973
1668462,365,low,high,ambient,soft drinks,5.285714285714286
1668463,365,low,high,ambient,alcoholic beverages,2.96
1668464,365,low,high,ambient,alcoholic beverages,2.055555555555556
1668466,365,low,high,ambient,alcoholic beverages,4.846153846153846
1668476,365,low,high,ambient,alcoholic beverages,4.266666666666667
1668477,365,low,high,ambient,alcoholic beverages,5.166666666666667
1668481,365,low,high,ambient,alcoholic beverages,1.8205128205128205
1668482,365,low,high,ambient,alcoholic beverages,3.3684210526315788
1671541,7,low,high,dry,bread products,9.785714285714286
1671558,7,low,high,dry,bread products,17.2
1671606,7,medium,high,refrigerated,fresh juice/smoothie,4.447368421052632
1695582,365,low,high,ambient,alcoholic beverages,4.702702702702703
1695598,365,low,high,ambient,soft drinks,2.269230769230769
1695695,365,low,high,ambient,soft drinks,1.824742268041237
1695713,365,low,high,dry,coffee/tea/hot drinks,3.0172413793103448
1695759,365,low,high,dry,coffee/tea/hot drinks,3.760869565217391
1695924,365,low,high,ambient,soft drinks,2.901639344262295
1723502,365,low,high,dry,coffee/tea/hot drinks,21.0
1723564,365,low,high,dry,coffee/tea/hot drinks,999.0
1723692,30,low,medium,dry,pastries shelf-stable,999.0
1726918,60,medium,high,frozen,sandwiches frozen,3.6875
1735577,365,low,high,dry,coffee/tea/hot drinks,7.894736842105263
1737590,14,medium,high,refrigerated,cheese,6.5
1814122,365,low,high,ambient,alcoholic beverages,2.2987012987012987
1814235,365,low,high,ambient,alcoholic beverages,2.4383561643835616
1814600,365,low,high,ambient,alcoholic beverages,3.5098039215686274
1816227,365,low,high,ambient,alcoholic beverages,1.1383647798742138
1816228,365,low,high,ambient,alcoholic beverages,6.107142857142857
1816239,365,low,high,dry,coffee/tea/hot drinks,1.9222222222222225
1816240,365,low,high,ambient,alcoholic beverages,2.875
1816255,365,low,high,dry,coffee/tea/hot drinks,4.209302325581396
1816259,2,high,high,refrigerated,meat fresh,1.792079207920792
1830818,90,medium,high,frozen,meat frozen,3.2777777777777777
1830821,90,medium,high,frozen,pizza (frozen/long shelf),1.989010989010989
1830822,90,medium,high,frozen,pizza (frozen/long shelf),3.489795918367347
1830823,365,low,high,dry,coffee/tea/hot drinks,2.8813559322033897
1830824,90,medium,high,frozen,pizza (frozen/long shelf),3.63265306122449
1830834,365,low,high,ambient,alcoholic beverages,3.8260869565217392
1830840,365,low,high,dry,coffee/tea/hot drinks,2.185185185185185
1830866,365,low,high,dry,coffee/tea/hot drinks,1.6759259259259258
1830867,365,low,high,dry,coffee/tea/hot drinks,1.836734693877551
1830874,90,medium,high,frozen,meat frozen,2.4794520547945207
1830893,7,medium,high,refrigerated,dairy/eggs,3.612244897959184
1873409,365,low,high,dry,coffee/tea/hot drinks,4.2926829268292686
1875526,7,low,high,dry,bread products,54.0
1875606,90,medium,high,frozen,meat frozen,27.0
1875625,90,medium,high,frozen,meat frozen,20.25
1891769,60,medium,high,frozen,sandwiches frozen,3.42
1933258,60,medium,high,frozen,sandwiches frozen,9.705882352941176
1942570,365,low,high,ambient,alcoholic beverages,21.125
1942769,365,low,high,dry,coffee/tea/hot drinks,11.416666666666666
1993948,365,low,high,dry,coffee/tea/hot drinks,19.33333333333333
2031955,2,high,high,refrigerated,fresh pizza,1.36
2084280,365,low,high,dry,coffee/tea/hot drinks,999.0
2109075,7,medium,high,refrigerated,dairy/eggs,2.272727272727273
2126177,60,medium,high,frozen,sandwiches frozen,999.0
2134611,14,medium,high,refrigerated,sauces/condiments,2.3506493506493507
2156456,14,medium,high,refrigerated,sauces/condiments,16.77777777777778
2200725,90,medium,high,frozen,meat frozen,3.36734693877551
2200790,60,medium,high,frozen,sandwiches frozen,11.384615384615383
2200846,365,low,high,dry,coffee/tea/hot drinks,999.0
2200871,365,low,high,dry,coffee/tea/hot drinks,999.0
2206122,365,low,high,dry,coffee/tea/hot drinks,26.166666666666668
2253694,365,low,high,ambient,alcoholic beverages,1.9673913043478264
2265984,365,low,high,dry,coffee/tea/hot drinks,4.045454545454546
2273188,180,low,high,ambient,shelf-stable snacks,3.809523809523809
2306787,365,low,high,ambient,alcoholic beverages,25.666666666666668
2306808,365,low,high,ambient,soft drinks,58.0
2306873,365,low,high,ambient,alcoholic beverages,20.0
2307783,90,medium,high,frozen,meat frozen,2.903225806451613
2316567,7,medium,high,refrigerated,dairy/eggs,2.142857142857143
2321548,90,medium,high,frozen,meat frozen,1.7592592592592593
2321865,14,medium,high,refrigerated,sauces/condiments,2.727272727272727
2321883,7,medium,high,refrigerated,fresh juice/smoothie,2.5
2321973,3,high,high,refrigerated,fresh salads/vegetables,1.175324675324675
2322280,90,medium,high,frozen,meat frozen,1.7019230769230769
2329745,365,low,high,ambient,alcoholic beverages,25.285714285714285
2338782,90,medium,high,frozen,meat frozen,8.5
2340021,90,medium,high,frozen,meat frozen,4.116279069767442
2351589,365,low,high,dry,coffee/tea/hot drinks,7.95
2351590,365,low,high,dry,coffee/tea/hot drinks,23.8
2351591,365,low,high,dry,coffee/tea/hot drinks,6.25925925925926
2351592,365,low,high,dry,coffee/tea/hot drinks,10.411764705882351
2351594,365,low,high,dry,coffee/tea/hot drinks,4.388888888888889
2351598,7,medium,high,refrigerated,fresh juice/smoothie,49.333333333333336
2351601,7,low,high,dry,bread products,12.642857142857142
2351602,7,low,high,dry,bread products,8.733333333333333
2351613,365,low,high,ambient,confectionery,6.0
2351614,365,low,high,dry,coffee/tea/hot drinks,8.0
2351615,365,low,high,ambient,confectionery,5.212121212121212
2351616,365,low,high,dry,coffee/tea/hot drinks,13.333333333333334
2364469,365,low,high,ambient,alcoholic beverages,49.0
2386353,365,low,high,dry,coffee/tea/hot drinks,9.454545454545457
2419356,60,medium,high,frozen,processed meat frozen,2.9661016949152543
2452104,365,low,high,ambient,alcoholic beverages,3.5
2452192,2,high,high,refrigerated,meat fresh,2.870967741935484
2457041,365,low,high,ambient,soft drinks,6.695652173913044
2457139,365,low,high,dry,coffee/tea/hot drinks,20.0
2457317,365,low,high,dry,coffee/tea/hot drinks,32.4
2457338,365,low,high,dry,coffee/tea/hot drinks,9.263157894736842
2457360,365,low,high,dry,coffee/tea/hot drinks,15.272727272727272
2457368,365,low,high,dry,coffee/tea/hot drinks,10.0
2457376,365,low,high,ambient,soft drinks,56.333333333333336
2463751,365,low,high,ambient,alcoholic beverages,28.166666666666668
2512050,365,low,high,ambient,alcoholic beverages,7.954545454545454
2557568,2,high,high,refrigerated,meat fresh,3.9444444444444446
2557569,365,low,high,ambient,soft drinks,3.0
2557572,2,medium,medium,refrigerated,pasta/rice fresh,4.235294117647059
2557585,365,low,high,dry,coffee/tea/hot drinks,3.888888888888889
2557590,365,low,high,dry,coffee/tea/hot drinks,4.375
2557591,365,low,high,dry,coffee/tea/hot drinks,5.833333333333333
2557593,365,low,high,dry,coffee/tea/hot drinks,5.0
2562131,7,low,high,dry,bread products,1.7755102040816326
2562133,7,medium,high,refrigerated,dairy/eggs,2.047058823529412
2562134,14,medium,high,refrigerated,cheese,1.9659090909090908
2562143,365,low,high,dry,coffee/tea/hot drinks,1.9550561797752808
2562152,365,low,high,ambient,confectionery,2.4857142857142858
2562156,365,low,high,ambient,confectionery,2.135802469135802
2562162,365,low,high,ambient,soft drinks,1.7058823529411764
2562163,365,low,high,ambient,soft drinks,1.6893203883495145
2562164,365,low,high,dry,coffee/tea/hot drinks,1.8125
2562165,365,low,high,dry,coffee/tea/hot drinks,1.891304347826087
2562168,365,low,high,dry,coffee/tea/hot drinks,2.463768115942029
2562175,365,low,high,ambient,alcoholic beverages,1.870967741935484
2562177,3,high,high,refrigerated,fresh salads/vegetables,2.4705882352941178
2562179,60,medium,high,frozen,sandwiches frozen,1.891304347826087
2562187,60,medium,high,frozen,sandwiches frozen,2.175
2562189,365,low,high,dry,coffee/tea/hot drinks,4.638888888888889
2562191,7,low,high,dry,bread products,8.285714285714286
2562192,60,medium,high,frozen,seafood frozen,8.7
2562193,14,medium,high,refrigerated,sauces/condiments,1.831578947368421
2562198,180,low,high,ambient,shelf-stable snacks,2.0963855421686746
2579058,180,low,high,ambient,shelf-stable snacks,5.363636363636363
2579072,14,medium,high,refrigerated,sauces/condiments,5.235294117647059
2582538,365,low,high,ambient,alcoholic beverages,2.3376623376623376
2604768,3,medium,high,refrigerated,processed meat,2.1341463414634148
2604805,365,low,high,dry,coffee/tea/hot drinks,1.5909090909090908
2604824,365,low,high,dry,coffee/tea/hot drinks,2.464788732394366
2604871,14,medium,high,refrigerated,sauces/condiments,48.0
2604915,60,medium,high,frozen,sandwiches frozen,13.5
2604931,365,low,high,ambient,alcoholic beverages,1.4957264957264955
2604958,365,low,high,ambient,soft drinks,1.6203703703703705
2604976,365,low,high,dry,coffee/tea/hot drinks,1.8617021276595744
2604988,30,low,medium,dry,pastries shelf-stable,4.5
2605069,365,low,high,dry,coffee/tea/hot drinks,1.6355140186915889
2605154,180,low,high,ambient,shelf-stable snacks,3.571428571428572
2611325,365,low,high,dry,coffee/tea/hot drinks,4.414634146341464
2611331,365,low,high,ambient,alcoholic beverages,8.181818181818182
2611333,365,low,high,ambient,soft drinks,4.641025641025641
2611334,365,low,high,ambient,alcoholic beverages,7.24
2611360,60,medium,high,frozen,sandwiches frozen,17.9
2618803,180,low,high,ambient,shelf-stable snacks,2.3026315789473686
2661671,365,low,high,ambient,alcoholic beverages,10.75
2664138,365,low,high,ambient,alcoholic beverages,7.0
2698911,365,low,high,ambient,soft drinks,41.0
2706138,365,low,high,ambient,confectionery,58.0
2733510,60,medium,medium,frozen,pasta/rice frozen,3.8260869565217392
2733512,60,medium,medium,frozen,pasta/rice frozen,4.578947368421052
2733513,365,low,high,dry,coffee/tea/hot drinks,6.285714285714286
2733517,90,medium,high,frozen,meat frozen,3.240740740740741
2733526,30,low,medium,dry,pastries shelf-stable,8.75
2733531,365,low,high,ambient,alcoholic beverages,4.487179487179487
2733537,365,low,high,ambient,alcoholic beverages,3.3846153846153846
2733556,365,low,high,dry,coffee/tea/hot drinks,8.65
2844632,365,low,high,ambient,alcoholic beverages,29.0
2852536,60,medium,high,frozen,sandwiches frozen,2.9672131147540983
2852537,60,medium,high,frozen,sandwiches frozen,1.587719298245614
2852538,60,medium,high,frozen,sandwiches frozen,2.2911392405063293
2852539,60,medium,high,frozen,sandwiches frozen,1.283687943262411
2852543,90,medium,high,frozen,meat frozen,3.034482758620689
2852544,60,medium,high,frozen,sandwiches frozen,2.579710144927536
2852547,60,medium,high,frozen,sandwiches frozen,2.4794520547945207
2852550,90,medium,high,frozen,meat frozen,1.6160714285714286
2852551,90,medium,high,frozen,meat frozen,1.5210084033613445
2852556,60,medium,high,frozen,sandwiches frozen,2.535211267605634
2852557,365,low,high,dry,coffee/tea/hot drinks,1.381679389312977
2852559,90,medium,high,frozen,meat frozen,1.283687943262411
2852567,365,low,high,dry,coffee/tea/hot drinks,3.6
2852568,60,medium,high,frozen,processed meat frozen,3.851063829787234
2852570,365,low,high,ambient,alcoholic beverages,2.585714285714286
2852571,365,low,high,ambient,alcoholic beverages,2.207317073170732
2852572,180,low,high,ambient,shelf-stable snacks,1.1528662420382163
2852573,365,low,high,dry,coffee/tea/hot drinks,1.1528662420382163
2852574,365,low,high,ambient,soft drinks,1.9052631578947368
2852578,365,low,high,ambient,alcoholic beverages,2.4133333333333336
2852582,365,low,high,ambient,alcoholic beverages,2.1951219512195124
2852591,1,high,medium,refrigerated,ready-to-eat meals,3.1206896551724137
2858876,90,medium,high,frozen,meat frozen,1.6454545454545455
2903737,30,low,medium,dry,pastries shelf-stable,9.625
2909646,60,medium,high,frozen,sandwiches frozen,18.0
2925089,7,medium,high,refrigerated,dairy/eggs,999.0
2925142,7,medium,high,refrigerated,dairy/eggs,999.0
2941210,1,high,high,refrigerated,seafood fresh,4.8
2941225,60,medium,high,frozen,seafood frozen,5.75
2960459,365,low,high,ambient,alcoholic beverages,5.285714285714286
2996789,365,low,high,ambient,alcoholic beverages,5.181818181818182
3003354,365,low,high,ambient,alcoholic beverages,1.3507462686567164
3005598,365,low,high,ambient,alcoholic beverages,1.691588785046729
3008900,365,low,high,ambient,soft drinks,2.2911392405063293
3008937,365,low,high,ambient,soft drinks,3.339622641509434
3033098,365,low,high,dry,coffee/tea/hot drinks,3.772727272727273
3033352,60,medium,high,frozen,sandwiches frozen,17.6
3033624,365,low,high,ambient,alcoholic beverages,4.620689655172414
3033649,365,low,high,ambient,soft drinks,2.5303030303030303
3033682,7,medium,high,refrigerated,fresh juice/smoothie,47.66666666666666
3033685,365,low,high,ambient,alcoholic beverages,7.533333333333333
3033686,365,low,high,ambient,alcoholic beverages,999.0
3033688,365,low,high,ambient,alcoholic beverages,16.0
3042463,60,medium,high,frozen,processed meat frozen,4.666666666666667
3048297,365,low,high,ambient,alcoholic beverages,2.033707865168539
3053507,3,medium,medium,refrigerated,pastries fresh,2.3285714285714287
3073430,365,low,high,ambient,alcoholic beverages,2.3376623376623376
3077736,365,low,high,ambient,alcoholic beverages,52.0
3077745,365,low,high,ambient,alcoholic beverages,48.5
3077755,365,low,high,ambient,alcoholic beverages,19.0
3077941,60,medium,high,frozen,sandwiches frozen,15.5
3081123,365,low,high,ambient,alcoholic beverages,1.046242774566474
3081125,365,low,high,ambient,alcoholic beverages,1.052325581395349
3081126,365,low,high,ambient,soft drinks,1.046242774566474
3081127,365,low,high,dry,coffee/tea/hot drinks,1.356060606060606
3082225,1,high,high,refrigerated,seafood fresh,9.0
3107052,60,medium,high,frozen,seafood frozen,2.2625
3147647,90,medium,high,frozen,meat frozen,7.318181818181818
3147649,60,medium,high,frozen,seafood frozen,33.25
3147655,60,medium,high,frozen,seafood frozen,23.0
317226,365,low,high,ambient,soft drinks,4.72972972972973
317227,365,low,high,dry,coffee/tea/hot drinks,6.481481481481482
317228,365,low,high,dry,coffee/tea/hot drinks,5.225806451612903
317231,365,low,high,ambient,alcoholic beverages,14.333333333333334
317237,365,low,high,ambient,alcoholic beverages,9.882352941176473
317239,365,low,high,ambient,alcoholic beverages,7.3478260869565215
317244,365,low,high,dry,coffee/tea/hot drinks,18.0
317249,1,high,medium,refrigerated,ready-to-eat meals,2.02247191011236
317250,1,high,medium,refrigerated,ready-to-eat meals,2.0
317251,365,low,high,ambient,soft drinks,1.5384615384615383
317803,1,high,medium,refrigerated,ready-to-eat meals,1.9565217391304348
3190411,365,low,high,ambient,alcoholic beverages,3.4150943396226414
3190507,365,low,high,ambient,alcoholic beverages,3.549019607843137
3274801,2,high,high,refrigerated,fresh pizza,2.828125
3278602,90,medium,high,frozen,meat frozen,5.423076923076923
3291884,1,high,medium,refrigerated,ready-to-eat meals,16.272727272727273
3291888,365,low,high,dry,coffee/tea/hot drinks,15.0
3291941,1,high,medium,refrigerated,ready-to-eat meals,41.75
3298370,365,low,high,dry,coffee/tea/hot drinks,3.688888888888889
3298429,365,low,high,ambient,alcoholic beverages,5.964285714285714
3298514,365,low,high,dry,coffee/tea/hot drinks,140.0
3326284,30,low,medium,dry,pastries shelf-stable,30.0
3331128,90,medium,high,frozen,meat frozen,5.821428571428571
3331131,365,low,high,dry,coffee/tea/hot drinks,5.142857142857143
3331132,365,low,high,dry,coffee/tea/hot drinks,5.8
3331133,90,low,high,frozen,frozen fried items,7.25
3331134,90,low,high,frozen,frozen fried items,6.0
3331139,7,medium,high,refrigerated,fresh juice/smoothie,7.714285714285714
3331140,365,low,high,dry,coffee/tea/hot drinks,6.714285714285714
3337739,14,medium,high,refrigerated,sauces/condiments,24.0
3342949,365,low,high,dry,coffee/tea/hot drinks,24.0
3344002,365,low,high,ambient,alcoholic beverages,32.0
3380787,365,low,high,dry,coffee/tea/hot drinks,23.4
3397889,365,low,high,ambient,soft drinks,1.3235294117647058
3444031,60,medium,high,frozen,seafood frozen,5.416666666666667
3444203,2,high,high,refrigerated,meat fresh,4.545454545454546
3452209,90,medium,high,frozen,meat frozen,7.166666666666667
3452254,60,medium,high,frozen,sandwiches frozen,7.222222222222222
3459995,3,medium,medium,refrigerated,pastries fresh,4.230769230769231
3460080,60,medium,high,frozen,sandwiches frozen,7.166666666666667
3460081,60,medium,high,frozen,sandwiches frozen,999.0
3460085,60,medium,high,frozen,sandwiches frozen,13.333333333333334
3460086,90,medium,high,frozen,meat frozen,32.0
3460090,60,medium,high,frozen,sandwiches frozen,30.6
3460091,60,medium,high,frozen,sandwiches frozen,999.0
3460093,365,low,high,dry,coffee/tea/hot drinks,11.9
3460095,90,low,high,frozen,frozen fried items,145.0
3460096,90,low,high,frozen,frozen fried items,74.0
3460097,365,low,high,dry,coffee/tea/hot drinks,40.0
3460105,90,medium,high,frozen,meat frozen,999.0
3460114,14,medium,high,refrigerated,sauces/condiments,92.0
3460121,14,medium,high,refrigerated,sauces/condiments,69.0
3460129,365,low,high,dry,coffee/tea/hot drinks,2.333333333333333
3460130,90,medium,high,frozen,meat frozen,8.136363636363637
3460133,365,low,high,dry,coffee/tea/hot drinks,16.7
3460134,90,medium,high,frozen,meat frozen,26.5
3460136,1,high,medium,refrigerated,ready-to-eat meals,999.0
3460142,7,low,high,dry,bread products,11.416666666666666
3460158,365,low,high,dry,coffee/tea/hot drinks,999.0
3468058,90,medium,high,frozen,meat frozen,24.0
3470385,90,medium,high,frozen,meat frozen,2.255813953488372
3470403,90,medium,high,frozen,meat frozen,2.255813953488372
3472120,60,medium,medium,frozen,pasta/rice frozen,19.33333333333333
3495744,365,low,high,dry,coffee/tea/hot drinks,6.454545454545454
3496082,365,low,high,dry,coffee/tea/hot drinks,21.75
3518631,365,low,high,ambient,soft drinks,19.4
3526060,365,low,high,ambient,soft drinks,4.7631578947368425
3547147,365,low,high,ambient,soft drinks,1.7142857142857142
3547214,365,low,high,dry,coffee/tea/hot drinks,1.0584795321637428
3547240,365,low,high,dry,coffee/tea/hot drinks,1.475409836065574
3549932,3,high,high,refrigerated,fresh salads/vegetables,9.666666666666666
3555298,365,low,high,dry,coffee/tea/hot drinks,1.1602564102564104
3571860,365,low,high,dry,coffee/tea/hot drinks,4.2926829268292686
3591384,365,low,high,ambient,alcoholic beverages,6.333333333333333
