item_id,title,avg_gap_days,storage_type,shelf_life_days,can_freeze,perishability,confidence,notes
1075237,Luksus smørrebrød - Selvvalgt,58.67,dry,7,True,low,high,bread products
1075265,Luksus Smørrebrød - vi vælger pålæg,21.67,dry,7,True,low,high,bread products
1075276,Smørrebrød - selvvalgt pålæg,10.38,dry,7,True,low,high,bread products
1075309,Smørrebrød - vi vælger pålæg,15.0,dry,7,True,low,high,bread products
1075333,Håndmad,108.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1075358,Smørrebrød m/ hakkebøf og spejlæg,71.0,frozen,90,True,medium,high,meat frozen
1075398,Smørrebrød m/ mørbradbøf,1.0,refrigerated,2,True,high,high,meat fresh
1075495,Smørrebrød m/ laks eller røget ål,88.0,frozen,60,True,medium,high,seafood frozen
1075573,"Smørrebrød m/ fiskefilet eller sild, æg og tomat",18.22,frozen,60,True,medium,high,seafood frozen
1075592,1 stor og 1 lille franskhotdog,14.0,frozen,60,True,medium,high,processed meat frozen
1075612,smørrebrød m/ fiskefilet samt rejer,2.0,refrigerated,1,True,high,high,seafood fresh
1075800,Sandwich,999.0,frozen,60,True,medium,high,sandwiches frozen
1076092,Bus Frokost menu,999.0,refrigerated,14,True,medium,high,cheese
1080675,FAMILIE PIZZA,7.45,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080679,FAMILIE PIZZA,8.35,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080689,FAMILIE PIZZA,4.85,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080700,FAMILIE PIZZA,10.58,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080709,FAMILIE PIZZA,20.0,frozen,90,True,medium,high,pizza (frozen/long shelf)
1083823,1 Time Oliemassage,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083828,1 Time Aromamassage,10.14,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083829,1/2 Time Fodmassage,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083830,1 Time Fodmassage,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1088169,Personale Pris,59.5,frozen,60,True,medium,medium,pasta/rice frozen
1090102,Unspecified,1.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1091980,GAVEKORT,14.64,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1092187,Glas mælk,24.0,refrigerated,7,False,medium,high,dairy/eggs
1100698,Fadøl 50cl,9.21,ambient,365,False,low,high,alcoholic beverages
1100763,Sodavand og cocio,10.29,ambient,365,False,low,high,soft drinks
1100797,Vand mv.,46.67,frozen,90,True,medium,high,meat frozen
1101090,Okseburger u. Menu,5.7,frozen,60,True,medium,high,sandwiches frozen
1103180,Selskab hos Madfruen.,15.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1105817,Unspecified,1.22,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1112320,Ekstra bøf,3.2,refrigerated,2,True,high,high,meat fresh
1112338,Ekstra vegetarbøf,999.0,frozen,90,True,medium,high,meat frozen
1112355,Ekstra ost,10.71,refrigerated,14,True,medium,high,cheese
1112367,Ekstra fisk,77.0,frozen,60,True,medium,high,seafood frozen
1112443,Menu 1,1.04,refrigerated,1,False,high,medium,ready-to-eat meals
1112466,Menu 2-4,1.03,refrigerated,1,False,high,medium,ready-to-eat meals
1118805,Special,2.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1127444,Forsendelsesgebyr,7.83,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1132712,Blødkogt æg,2.93,refrigerated,7,False,medium,high,dairy/eggs
1132989,Pesto,10.06,refrigerated,14,False,medium,high,sauces/condiments
1137892,Floedeis,6.76,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1139475,Portvin glas,15.91,ambient,365,False,low,high,alcoholic beverages
1145644,Manicure med ensfarvet lak/Shellac,10.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1160525,Varm chokolade,67.5,dry,365,False,low,high,coffee/tea/hot drinks
1173432,Brunch,51.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1198760,Sodavand,2.83,ambient,365,False,low,high,soft drinks
1208733,Fredagsøl,7.29,ambient,365,False,low,high,alcoholic beverages
1227284,3 stk Cookies,13.42,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1227518,1 kss. øl,28.0,ambient,365,False,low,high,alcoholic beverages
1228014,Tobak,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1228050,Chips,999.0,ambient,180,False,low,high,shelf-stable snacks
1229449,Antons ØKO Saft,2.35,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1229478,Adelhardt ØKO Rabarber,15.4,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1229570,Stor Croissant,1.5,dry,30,False,low,medium,pastries shelf-stable
1229711,1/2 Bolle m. smør og ost,1.38,dry,7,True,low,high,bread products
1229797,Hindbærsnitte,3.34,dry,365,False,low,high,coffee/tea/hot drinks
1229993,Romkugle m. kakaokrymmel,3.03,dry,365,False,low,high,coffee/tea/hot drinks
1230081,"Asta’s romkugle, vegansk",4.41,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1230094,Napoleonshatte,5.03,dry,365,False,low,high,coffee/tea/hot drinks
1230165,Kanelsnurre ØKO,1.63,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1230798,Sancocho,10.47,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1230812,Kylling i karry m. Ris,2.77,frozen,90,True,medium,high,meat frozen
1236848,Usp smørrebrød,1.58,dry,7,True,low,high,bread products
1236854,Usp luksus smørrebrød,9.21,dry,7,True,low,high,bread products
1240114,Alkoholfri øl,29.4,ambient,365,False,low,high,alcoholic beverages
1240128,Vand,17.5,ambient,365,False,low,high,soft drinks
1240477,Sirup shot,7.83,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1244728,Café latte,3.0,dry,365,False,low,high,coffee/tea/hot drinks
1244772,Latte Macchiato,27.5,dry,365,False,low,high,coffee/tea/hot drinks
1244814,Cappuccino,11.93,dry,365,False,low,high,coffee/tea/hot drinks
1244832,Flat White,35.0,dry,365,False,low,high,coffee/tea/hot drinks
1244866,Espresso Shot (Dobbelt),999.0,dry,365,False,low,high,coffee/tea/hot drinks
1247438,Unspecified,3.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1253878,Chilli burger menu,17.0,frozen,60,True,medium,high,sandwiches frozen
1254473,Mix,16.1,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1254591,Baconcheese menu,10.94,frozen,90,True,medium,high,meat frozen
1256148,Chips,3.42,ambient,180,False,low,high,shelf-stable snacks
1259241,Herreklip,1.65,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1259242,Dameklip,14.73,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1259243,Børneklip,7.27,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1259246,Maskineklip,5.8,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1259247,Trimming af Skæg,10.29,refrigerated,7,False,medium,high,dairy/eggs
1259249,Hårvasker,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1267267,"Extra ( bacon, artiskoker, tomater ...)",6.79,dry,365,False,low,high,coffee/tea/hot drinks
1267746,Fest,10.94,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1269507,Personalepris,21.33,frozen,60,True,medium,medium,pasta/rice frozen
1269683,Cocio  store,1.96,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1279094,Pita humus,10.0,frozen,60,True,medium,high,wraps/kebab frozen
1279115,MENU,3.45,refrigerated,1,False,high,medium,ready-to-eat meals
1279122,Durum Humus,1.83,ambient,365,False,low,high,alcoholic beverages
1279655,HUMMERSUPPE,7.95,frozen,90,True,low,medium,soup frozen
1289502,Perrier,42.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1297131,Alt mælk,3.8,refrigerated,7,False,medium,high,dairy/eggs
1297198,Carlsberg pilsner,1.18,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1297454,Tuborg classic,1.27,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1297963,Grimbergen blonde,2.34,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298038,Grimbergen double,2.25,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298065,Jacobsen juicy IPA,1.58,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298131,Jacobsen brown ale,1.74,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298157,Jacobsen yakima IPA,2.85,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298178,1664 blanc,1.28,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1298205,Brooklyn stonewall IPA,1.53,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298243,Brooklyn pulp art IPA,2.57,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298279,Somersby apple cider,1.9,ambient,365,False,low,high,alcoholic beverages
1298297,Mojito,5.0,ambient,365,False,low,high,alcoholic beverages
1298310,Passion attraction,2.67,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298320,Berry blaze,3.48,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298336,Tuborg pilsner,2.34,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298358,Crabbies ginger beer original,6.52,ambient,365,False,low,high,alcoholic beverages
1298380,Crabbies ginger beer raspberry,4.86,ambient,365,False,low,high,alcoholic beverages
1298418,Carlsberg nordic,6.84,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298443,1664 blanc 0%,3.65,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298465,Brooklyn hoppy lager,4.32,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1298536,Sodavand,1.29,ambient,365,False,low,high,soft drinks
1298582,Klippekort,7.95,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1299021,Basil sour smash,4.51,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1299051,Cutiecumber,5.68,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1299096,Raspberry rascal,3.91,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1299169,Sour millionaire,7.36,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1299350,Blue Hawaiian,26.4,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1314342,PANT,21.25,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1320295,Kande fadøl,1.59,ambient,365,False,low,high,alcoholic beverages
1320387,"2 ens for 135,-",2.37,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1320527,Tapas,24.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1320564,Tapas menu 1,30.8,refrigerated,1,False,high,medium,ready-to-eat meals
1320586,Tapas menu 2,30.33,refrigerated,1,False,high,medium,ready-to-eat meals
1330729,Fest - Børn 6 - 11 år,14.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1330949,Fest - Børn 0 - 5 år,17.11,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1332213,Cognac,28.5,ambient,365,False,low,high,alcoholic beverages
1332224,Baileys,28.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1332233,Spiritus 2 cl,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1332280,"Snaps 0,5 fl.",999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1332816,Luksus,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1332906,Durum Humus,11.0,ambient,365,False,low,high,alcoholic beverages
1333665,Svinekam stegt som vildt,13.0,ambient,365,False,low,high,alcoholic beverages
1333981,Runnig dinner,105.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1334891,Kaffebord med lagkage og boller,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1335049,"Kringle, boller, småkager, 1 øl eller sodavand samt kaffe og ",22.5,ambient,365,False,low,high,alcoholic beverages
1335122,"Frokostbuffet med sild, æg og rejer, fiskefilet,  frikadeller,",999.0,frozen,60,True,medium,high,seafood frozen
1339059,Islagkage,6.0,refrigerated,3,True,medium,medium,pastries fresh
1363694,Børne Burger(Fritter),57.33,dry,365,False,low,high,coffee/tea/hot drinks
1363789,Americano,24.2,dry,365,False,low,high,coffee/tea/hot drinks
1383364,2 retters,8.0,dry,365,False,low,high,coffee/tea/hot drinks
1383405,3 retters,27.8,dry,365,False,low,high,coffee/tea/hot drinks
1393766,Branca Menta,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1399637,Sodavand \energie\,5.86,ambient,365,False,low,high,soft drinks
1419418,S. Brugsen,84.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1420007,Durum,2.3,ambient,365,False,low,high,alcoholic beverages
1420036,Box,2.33,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1420053,Tyrkiskbrød,4.2,dry,7,True,low,high,bread products
1420731,Pita menu,2.05,refrigerated,1,True,high,high,wraps/kebab fresh
1420742,Durum menu,1.26,ambient,365,False,low,high,alcoholic beverages
1420743,Burger,2.11,refrigerated,1,True,high,high,sandwiches fresh
1420755,Kyllinge burger,1.24,refrigerated,1,True,high,high,sandwiches fresh
1420764,Fransk hoddok,3.33,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1420766,Lilli pommes,7.8,frozen,90,True,low,high,frozen fried items
1420780,Stor pommes,10.0,frozen,90,True,low,high,frozen fried items
1420781,Kebab rat,4.86,frozen,60,True,medium,high,wraps/kebab frozen
1420812,Kildevand,1.26,ambient,365,False,low,high,soft drinks
1420816,Ayran,10.47,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1420821,Gazoz,40.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1420839,Red Bul,1.75,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1420851,Duppelse i bæger,3.63,refrigerated,7,False,medium,high,dairy/eggs
1420863,Eks.kød,26.83,frozen,90,True,medium,high,meat frozen
1420877,Dåse sodavend,2.82,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1421806,Ost,8.19,refrigerated,14,True,medium,high,cheese
1424624,Voksen,1.5,refrigerated,2,True,high,high,meat fresh
1424625,Ung (5 – 18 år),1.67,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1424626,Barn (0-4 år),1.88,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1424627,Veteran,2.6,dry,365,False,low,high,coffee/tea/hot drinks
1424630,Salg Sæsonkort ung/veteran,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1424631,Adgang Handikapledsager,2.5,refrigerated,2,True,high,high,meat fresh
1424632,Adgang Copenhagen Card,1.88,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1424633,Adgang WEB-salg,2.14,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1424634,Adgang sæsonkort,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424635,Adgang PSV individuel,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424636,Adgang PSV familie,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424637,Adgang PSV eksklusiv,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424639,Ubådsforening,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424640,Vand,1.33,ambient,365,False,low,high,soft drinks
1424641,Kasket,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1424642,Køleskabsmagnet,3.5,ambient,365,False,low,high,alcoholic beverages
1424643,Tom,2.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1424650,Fregatten Peder Skram,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1431609,Sjovt slik,9.41,ambient,365,False,low,high,confectionery
1431634,Sjovt slik,19.33,ambient,365,False,low,high,confectionery
1436934,1 nuggets,36.0,frozen,90,True,low,high,frozen fried items
1439345,Unspecified,8.17,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1439475,Unspecified,1.89,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1440435,Koresel,35.67,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1440438,Koresel,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1442259,Banan chokolade kage,2.33,dry,365,False,low,high,coffee/tea/hot drinks
1447752,Unspecified,2.23,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1452518,Nyt vinyl,4.13,ambient,365,False,low,high,alcoholic beverages
1452546,Nyt vinyl,1.43,ambient,365,False,low,high,alcoholic beverages
1452561,Nyt vinyl,1.49,ambient,365,False,low,high,alcoholic beverages
1452605,Nyt vinyl,1.89,ambient,365,False,low,high,alcoholic beverages
1452635,Nyt vinyl,1.35,ambient,365,False,low,high,alcoholic beverages
1452640,Nyt vinyl,1.28,ambient,365,False,low,high,alcoholic beverages
1452643,Nyt vinyl,1.54,ambient,365,False,low,high,alcoholic beverages
1452668,Nyt vinyl,1.53,ambient,365,False,low,high,alcoholic beverages
1452676,Nyt vinyl,3.67,ambient,365,False,low,high,alcoholic beverages
1452689,Nyt vinyl,1.29,ambient,365,False,low,high,alcoholic beverages
1452724,Nyt vinyl,1.8,ambient,365,False,low,high,alcoholic beverages
1452740,Nyt vinyl,1.86,ambient,365,False,low,high,alcoholic beverages
1452743,Nyt vinyl,2.54,ambient,365,False,low,high,alcoholic beverages
1452774,Brugt vinyl,1.62,ambient,365,False,low,high,alcoholic beverages
1452799,Brugt vinyl,1.71,ambient,365,False,low,high,alcoholic beverages
1452810,Brugt vinyl,1.69,ambient,365,False,low,high,alcoholic beverages
1452849,Brugt vinyl,1.51,ambient,365,False,low,high,alcoholic beverages
1452851,Brugt vinyl,1.84,ambient,365,False,low,high,alcoholic beverages
1452857,Brugt vinyl,3.73,ambient,365,False,low,high,alcoholic beverages
1452863,Brugt vinyl,3.21,ambient,365,False,low,high,alcoholic beverages
1452867,Brugt vinyl,2.61,ambient,365,False,low,high,alcoholic beverages
1452874,Brugt vinyl,5.21,ambient,365,False,low,high,alcoholic beverages
1452875,Brugt vinyl,10.12,ambient,365,False,low,high,alcoholic beverages
1452876,Brugt vinyl,9.24,ambient,365,False,low,high,alcoholic beverages
1452880,Brugt vinyl,17.2,ambient,365,False,low,high,alcoholic beverages
1452933,Drikkelse,12.71,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1452945,Drikkelse,2.48,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1452957,Drikkelse,1.64,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1452963,Drikkelse,3.45,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1452966,Drikkelse,3.59,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1452990,Gavekort,1.98,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1453224,T-shirt,2.95,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1465913,Herreklip,2.19,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1465915,Børneklip,4.44,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1465916,Maskineklip,8.43,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1465917,Trimming af Skæg,999.0,refrigerated,7,False,medium,high,dairy/eggs
1465918,Hårvasker,8.81,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1465921,Cologne,11.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1466226,Croissant,28.2,dry,30,False,low,medium,pastries shelf-stable
1466234,2 croissanter,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1466249,Bolle,45.5,dry,7,True,low,high,bread products
1469002,Eks. Kød,8.38,frozen,90,True,medium,high,meat frozen
1469964,Unspecified,2.25,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1470593,Nyt Vinyl,1.36,ambient,365,False,low,high,alcoholic beverages
1476219,Romkugle,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1477373,SMØRREBRØD,1.63,refrigerated,3,True,medium,high,bread fresh
1477391,MØDE SMØRREBRØD,5.84,dry,7,True,low,high,bread products
1477415,VAND,2.92,ambient,365,False,low,high,soft drinks
1477422,DÅSEVAND,999.0,frozen,90,True,medium,high,meat frozen
1477435,KILDEVAND,17.62,ambient,365,False,low,high,soft drinks
1485395,Fiskestjerne.,3.6,frozen,60,True,medium,high,seafood frozen
1490907,1 KASSE ØL,16.5,ambient,365,False,low,high,alcoholic beverages
1494274,Tea,48.5,dry,365,False,low,high,coffee/tea/hot drinks
1494513,Unspecified,9.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1496731,Dobbeltburger menu med ost og bacon,5.32,frozen,60,True,medium,high,sandwiches frozen
1496899,Alle børnemenuer,2.2,refrigerated,1,False,high,medium,ready-to-eat meals
1499350,Chips,1.67,ambient,180,False,low,high,shelf-stable snacks
1499351,SVÆR,1.89,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1499356,Slik,3.12,ambient,365,False,low,high,confectionery
1499358,Kaffe,3.49,dry,365,False,low,high,coffee/tea/hot drinks
1499359,Vand,1.05,ambient,365,False,low,high,soft drinks
