commit	total_cost_dkk	waste_dkk	stockout_dkk	mae	status	description
754f87e	5237887.97	2540815.54	1798048.29	2.266019	keep	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 23% buffer
fc0922c	5235216.63	2572445.73	1775180.60	2.285373	keep	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 24% buffer
feccc09	5233372.07	2604213.73	1752772.23	2.304926	keep	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 25% buffer
38ce3f7	5231713.91	2668088.20	1709083.80	2.344585	keep	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 27% buffer
f52a6d7	5234039.28	2764702.02	1646224.84	2.405482	discard	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 30% buffer
8d8866c	5231868.77	2700189.43	1687786.22	2.364663	discard	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 28% buffer
3745bae	5232195.49	2636093.05	1730734.96	2.324667	discard	Adaptive blend RF(300) global + ET(800) per-store 75/25 + decay hl=12d + 26% buffer
272ffba	5234728.68	2706603.45	1685416.82	2.371299	discard	Adaptive blend RF(300) global + ET(800) per-store 72/28 + decay hl=12d + 27% buffer
54a215e	5228622.53	2796102.01	1621680.34	2.419144	keep	Feature interactions (lag*dow, roll*wknd) + adaptive blend RF(300)+ET(800) 75/25 + hl=12d + 27% buffer
167439d	5234540.30	2783779.73	1633840.38	2.406514	discard	More feature interactions (7 total) + RF(300)+ET(800) 75/25 + hl=12d + 27% buffer
890dfd3	5225791.94	2729455.33	1664224.41	2.377057	keep	Feature interactions + RF(300)+ET(800) 75/25 + hl=12d + 25% buffer
6aaedc4	5225379.29	2696299.09	1686053.47	2.356267	keep	Feature interactions + RF(300)+ET(800) 75/25 + hl=12d + 24% buffer
2baa579	5226646.94	2630335.45	1730874.33	2.315266	discard	Feature interactions + RF(300)+ET(800) 75/25 + hl=12d + 22% buffer
ac4849e	5225654.54	2663257.51	1708264.69	2.335682	discard	Feature interactions + RF(300)+ET(800) 75/25 + hl=12d + 23% buffer
0feebdc	5809523.74	2947676.15	1907898.39	2.495531	discard	Feature interactions + LightGBM(500) global + ET(800) per-store 75/25 + hl=12d + 24% buffer
2d89a8b	5225357.02	2696279.47	1686051.70	2.356277	keep	Feature interactions + RF(300)+ET(800) 75/25 min_store_samples=100 + hl=12d + 24% buffer
c9a70a4	5225385.96	2696296.51	1686059.63	2.355817	discard	Feature interactions + RF(300)+ET(800) 75/25 min_store_samples=50 + hl=12d + 24% buffer
ed64cf0	5231361.59	2703742.45	1685079.43	2.362647	discard	Feature interactions + RF(300)+ET(800) 75/25 + train_days=45 + hl=12d + 24% buffer
860e689	5298786.00	2756723.51	1694708.32	2.395153	discard	6 interactions (add CoV + wow_growth*roll7) + RF(300)+ET(800) 75/25 + hl=12d + 24% buffer
b4e45fe	5277436.62	2697786.09	1719767.02	2.357659	discard	Feature interactions + RF(300,min_leaf=3) global + ET(800) per-store 75/25 + hl=12d + 24% buffer
75d1270	5429803.90	2815745.37	1742705.69	2.434432	discard	RF(300,min_leaf=2,max_feat=sqrt) global + ET(800) + interactions + hl=12d + 24% buffer
98a1347	5245074.96	2697493.46	1698387.66	2.365600	discard	Feature interactions + RF(300)+ET(800) 75/25 min_samples=100 + hl=9d + 24% buffer
06a4dc7	5267531.50	2717539.80	1699994.47	2.369634	discard	Nonzero 2x weight + feature interactions + RF(300)+ET(800) 75/25 + hl=12d + 24% buffer
f72b719	5237293.54	2753683.88	1655739.77	2.397644	discard	Feature interactions + RF(300)+ET(800) 70/30 min_samples=100 + hl=12d + 24% buffer
a0ac2b8	5373155.81	2747955.34	1750133.65	2.384248	discard	Feature interactions + ET(800,min_leaf=2) global + ET(800) per-store 75/25 + hl=12d + 24% buffer
f75d5b9	5512764.24	2719852.63	1861941.08	2.365049	discard	Feature interactions + XGB(500,lr=0.05,d=6) global + ET(800) per-store 75/25 + hl=12d + 24% buffer
